iter	Passed	Remaining
0	29	2901
1	54	2692
2	79	2557
3	101	2440
4	125	2390
5	151	2379
6	177	2353
7	202	2327
8	228	2306
9	254	2286
10	280	2268
11	307	2255
12	333	2231
13	359	2207
14	384	2180
15	411	2160
16	437	2136
17	461	2104
18	484	2065
19	510	2040
20	538	2025
21	565	2003
22	591	1980
23	615	1949
24	642	1927
25	668	1902
26	694	1876
27	718	1848
28	744	1821
29	770	1797
30	795	1770
31	828	1759
32	860	1746
33	886	1720
34	915	1699
35	942	1675
36	970	1651
37	993	1621
38	1017	1591
39	1045	1567
40	1072	1542
41	1096	1513
42	1122	1487
43	1145	1457
44	1169	1429
45	1193	1401
46	1217	1373
47	1242	1345
48	1264	1316
49	1288	1288
50	1322	1270
51	1391	1284
52	1416	1256
53	1439	1226
54	1462	1196
55	1489	1170
56	1539	1161
57	1626	1177
58	1656	1151
59	1685	1123
60	1710	1093
61	1735	1063
62	1760	1034
63	1785	1004
64	1808	973
65	1833	944
66	1858	915
67	1890	889
68	1914	860
69	1936	829
70	1956	799
71	1979	769
72	2003	741
73	2026	712
74	2051	683
75	2073	654
76	2099	627
77	2123	598
78	2148	571
79	2172	543
80	2197	515
81	2217	486
82	2240	458
83	2265	431
84	2287	403
85	2311	376
86	2334	348
87	2360	321
88	2383	294
89	2409	267
90	2432	240
91	2458	213
92	2483	186
93	2508	160
94	2538	133
95	2562	106
96	2589	80
97	2615	53
98	2641	26
99	2664	0
